iter	Passed	Remaining
412	3642	5176
413	3651	5168
414	3660	5159
415	3669	5150
416	3677	5142
417	3686	5132
418	3695	5124
419	3704	5116
420	3713	5106
421	3721	5097
422	3730	5088
423	3739	5079
424	3747	5070
425	3756	5061
426	3765	5052
427	3773	5043
428	3782	5034
429	3791	5026
430	3800	5017
431	3809	5008
432	3818	4999
433	3826	4990
434	3835	4981
435	3844	4973
436	3853	4964
437	3862	4955
438	3870	4946
439	3879	4937
440	3887	4928
441	3896	4918
442	3904	4909
443	3913	4900
444	3922	4891
445	3930	4882
446	3939	4873
447	3948	4864
448	3956	4855
449	3965	4847
450	3974	4838
451	3983	4829
452	3992	4820
453	4000	4811
454	4009	4802
455	4018	4794
456	4027	4784
457	4035	4775
458	4043	4766
459	4052	4757
460	4061	4748
461	4070	4739
462	4078	4730
463	4087	4721
464	4096	4712
465	4104	4703
466	4113	4694
467	4123	4686
468	4131	4677
469	4139	4668
470	4148	4659
471	4158	4651
472	4167	4643
473	4176	4635
474	4185	4626
475	4194	4617
476	4203	4608
477	4211	4599
478	4221	4591
479	4229	4582
480	4238	4573
481	4247	4564
482	4256	4555
483	4264	4546
484	4273	4537
485	4281	4528
486	4290	4520
487	4299	4511
488	4308	4502
489	4317	4493
490	4326	4484
491	4335	4476
492	4343	4466
493	4352	4457
494	4360	4449
495	4369	4440
496	4378	4431
497	4387	4422
498	4395	4413
499	4404	4404
500	4413	4395
501	4422	4386
502	4430	4378
503	4439	4369
504	4448	4360
505	4457	4351
506	4465	4342
507	4474	4333
508	4483	4325
509	4492	4316
510	4501	4307
511	4510	4299
512	4519	4290
513	4528	4281
514	4537	4273
515	4545	4264
516	4554	4255
517	4563	4246
518	4571	4237
519	4580	4228
520	4589	4219
521	4598	4210
522	4607	4202
523	4616	4193
524	4624	4184
525	4633	4175
526	4641	4166
527	4650	4157
528	4659	4148
529	4667	4139
530	4676	4130
531	4685	4121
532	4694	4113
533	4703	4104
534	4712	4095
535	4720	4086
536	4729	4077
537	4738	4068
538	4746	4059
539	4755	4050
540	4764	4042
541	4772	4033
542	4781	4024
543	4790	4015
544	4798	4006
545	4807	3997
546	4815	3988
547	4824	3979
548	4833	3970
549	4842	3962
550	4851	3953
551	4860	3944
552	4869	3935
553	4878	3927
554	4887	3918
555	4895	3909
556	4904	3900
557	4913	3891
558	4921	3882
559	4930	3873
560	4938	3864
561	4947	3855
562	4955	3846
563	4965	3838
564	4973	3829
565	4982	3820
566	4991	3811
567	5000	3802
568	5008	3793
569	5017	3784
570	5025	3775
571	5034	3766
572	5042	3757
573	5051	3749
574	5060	3740
575	5069	3731
576	5077	3722
577	5086	3713
578	5095	3705
579	5104	3696
580	5112	3687
581	5121	3678
582	5131	3670
583	5140	3661
584	5148	3652
585	5157	3643
586	5166	3635
587	5174	3626
588	5183	3617
589	5192	3608
590	5201	3599
591	5210	3590
592	5219	3582
593	5228	3573
594	5236	3564
595	5245	3555
596	5254	3546
597	5263	3538
598	5272	3529
599	5280	3520
600	5289	3511
601	5298	3503
602	5307	3494
603	5316	3485
604	5324	3476
605	5333	3467
606	5342	3458
607	5351	3450
608	5360	3441
609	5369	3432
610	5377	3423
611	5386	3414
612	5394	3405
613	5403	3396
614	5412	3388
615	5421	3379
616	5430	3370
617	5438	3361
618	5447	3352
619	5456	3344
620	5465	3335
621	5474	3326
622	5482	3317
623	5491	3309
624	5500	3300
625	5509	3291
626	5517	3282
627	5526	3273
628	5535	3265
629	5544	3256
630	5554	3248
631	5562	3239
632	5572	3230
633	5581	3221
634	5589	3212
635	5598	3204
636	5607	3195
637	5615	3186
638	5624	3177
639	5633	3168
640	5642	3159
641	5651	3151
642	5659	3142
643	5668	3133
644	5677	3124
645	5685	3115
646	5694	3107
647	5704	3098
648	5712	3089
649	5722	3081
650	5730	3072
651	5738	3062
652	5747	3054
653	5756	3045
654	5765	3036
655	5773	3027
656	5782	3018
657	5791	3009
658	5799	3001
659	5808	2992
660	5817	2983
661	5825	2974
662	5834	2965
663	5842	2956
664	5851	2947
665	5860	2939
666	5869	2930
667	5877	2921
668	5886	2912
669	5895	2903
670	5904	2895
671	5913	2886
672	5922	2877
673	5931	2868
674	5939	2859
675	5948	2851
676	5957	2842
677	5965	2833
678	5975	2824
679	5983	2815
680	5992	2807
681	6001	2798
682	6010	2789
683	6019	2780
684	6027	2771
685	6036	2763
686	6045	2754
687	6053	2745
688	6062	2736
689	6070	2727
690	6079	2718
691	6087	2709
692	6095	2700
693	6104	2691
694	6113	2682
695	6122	2674
696	6131	2665
697	6139	2656
698	6148	2647
699	6157	2638
