iter	Logloss
0	0.6815928587
1	0.6727331073
2	0.6660496931
3	0.6610055169
4	0.6565675489
5	0.6534012363
6	0.6504836017
7	0.6482385812
8	0.6460485481
9	0.6445653209
10	0.6433543113
11	0.6422662466
12	0.6413099296
13	0.6402396162
14	0.6395123482
15	0.6389398555
16	0.6383532345
17	0.6378561287
18	0.6373298535
19	0.6369191325
20	0.6365221117
21	0.6361659342
22	0.6358095811
23	0.6355383541
24	0.6351187932
25	0.6348316696
26	0.6345298579
27	0.634236079
28	0.633971374
29	0.6337633664
30	0.6335597803
31	0.6333813577
32	0.6331990687
33	0.633022847
34	0.6328220492
35	0.6325690208
36	0.632444345
37	0.6322741748
38	0.6321331264
39	0.6320136376
40	0.6318916957
41	0.6317040763
42	0.6315727955
43	0.6314534476
44	0.6313470428
45	0.6312214175
46	0.6311279717
47	0.6310300471
48	0.6309370051
49	0.6307933671
50	0.6307071206
51	0.6306388953
52	0.6304904037
53	0.6303729016
54	0.6302760538
55	0.6302032321
56	0.6300755345
57	0.6299757517
58	0.6299106407
59	0.629826098
60	0.6297601904
61	0.6296697671
62	0.6296044358
63	0.6294863312
64	0.6294138164
65	0.629341484
66	0.6292841419
67	0.6291997628
68	0.6291168431
69	0.6290558651
70	0.6289827971
71	0.6289205364
72	0.6288599608
73	0.6288025175
74	0.628756154
75	0.6287050313
76	0.6286430451
77	0.6285864072
78	0.6285201355
79	0.6284791342
80	0.6284301391
81	0.6283735455
82	0.628334609
83	0.6282975197
84	0.6282393737
85	0.6281845797
86	0.6281212649
87	0.6280651525
88	0.6280151649
89	0.6279634683
90	0.6279225653
91	0.6278705201
92	0.6278033221
93	0.6277400476
94	0.6276557282
95	0.6276333677
96	0.6275666809
97	0.627542009
98	0.6275030116
99	0.6274548803
100	0.6273691019
101	0.6273366217
102	0.6273013356
103	0.6272569538
104	0.6272059039
105	0.627156151
106	0.6270918362
107	0.6270343753
108	0.6269884977
109	0.6269421645
110	0.6268872759
111	0.6268049773
112	0.626714918
113	0.6266772347
114	0.6266105592
115	0.6265585053
116	0.6264684298
117	0.6264264323
118	0.6263716768
119	0.6263248288
120	0.6262773686
121	0.6262233146
122	0.6261567523
123	0.6261085602
124	0.6260580995
125	0.6260081044
126	0.6259630661
127	0.6259194256
128	0.6258672625
129	0.6258090467
130	0.6257544055
131	0.6257160477
132	0.6256681824
133	0.6256136935
134	0.6255818716
135	0.6255383194
136	0.6255002906
137	0.6254316067
138	0.6253989054
139	0.6253594191
140	0.6253122899
141	0.6252678406
142	0.6252007132
143	0.6251562569
144	0.6251176633
145	0.6250811231
146	0.6250329267
147	0.6250042693
148	0.6249711723
149	0.6249339857
150	0.6248970312
151	0.6248534346
152	0.6248196901
153	0.6247876883
154	0.6247500281
155	0.6247038389
156	0.6246623756
157	0.6246311125
158	0.6246039164
159	0.6245666755
160	0.6245337398
161	0.6244994965
162	0.6244680243
163	0.6244298878
164	0.6243985705
165	0.6243612986
166	0.6243300115
167	0.624303964
168	0.6242662502
169	0.6242369081
170	0.6242023833
171	0.624172869
172	0.6241462235
173	0.624112838
174	0.6240834938
175	0.6240461504
176	0.6240139258
177	0.6239829847
178	0.6239557021
179	0.6239110324
180	0.6238709215
181	0.6238365206
182	0.6238086088
183	0.6237823967
184	0.6237548542
185	0.6237125083
186	0.6236772568
187	0.6236369862
188	0.6236023869
189	0.6235637666
190	0.623534028
191	0.6234982011
192	0.6234724765
193	0.62344471
194	0.6234114914
195	0.6233849491
196	0.6233630787
197	0.6233300148
198	0.6233018087
199	0.623256249
200	0.6232350713
201	0.6232074036
202	0.6231681999
203	0.6231450115
204	0.6231068618
205	0.6230834139
206	0.6230523733
207	0.6230244792
208	0.6229860103
209	0.6229438569
210	0.6229105261
211	0.6228764799
212	0.6228494693
213	0.6228170658
214	0.6227884407
215	0.6227706269
216	0.6227501228
217	0.622717615
218	0.6226813725
219	0.6226486089
220	0.6226135779
221	0.6225738056
222	0.6225442868
223	0.6225182506
224	0.622496408
225	0.6224705295
226	0.6224435985
227	0.6224118415
228	0.6223839702
229	0.6223631278
230	0.622334588
231	0.6223156252
232	0.6222876285
233	0.6222676166
234	0.6222408823
235	0.6222035319
236	0.6221761892
237	0.6221475419
238	0.6221232122
239	0.6220973377
240	0.6220719866
241	0.6220480735
242	0.6220245207
243	0.6220033052
244	0.6219685909
245	0.6219419876
246	0.6219237553
247	0.6218952837
248	0.6218632577
249	0.6218419988
250	0.6218191392
251	0.6217898872
252	0.621745267
253	0.6217114961
254	0.6216848084
255	0.6216551116
256	0.621616831
257	0.6215778816
258	0.6215534153
259	0.6215143855
260	0.6214829324
261	0.6214553163
262	0.6214286058
263	0.6214014006
264	0.6213746186
265	0.6213542729
266	0.6213407557
267	0.6213161239
268	0.6212929083
269	0.6212694115
270	0.6212341753
271	0.621207952
272	0.6211856607
273	0.6211617107
274	0.6211319438
275	0.6210930377
276	0.6210743022
277	0.6210562114
278	0.6210270285
279	0.6210010966
280	0.6209742331
281	0.6209486242
282	0.6209222801
283	0.6209019223
284	0.6208789773
285	0.6208392473
286	0.6208195582
287	0.6207945153
288	0.620768462
289	0.6207421817
290	0.6207274564
291	0.620699495
292	0.6206733008
293	0.6206583548
294	0.6206379324
295	0.6206201917
296	0.620597834
297	0.6205759525
298	0.6205494141
299	0.6205274027
300	0.6205088683
301	0.6204900829
302	0.6204654947
303	0.6204367494
304	0.6204159381
305	0.6203894994
306	0.6203617249
307	0.6203335676
308	0.6203098324
309	0.6202869744
310	0.620261109
311	0.6202308205
312	0.620204554
313	0.620168657
314	0.6201409312
315	0.6201205294
316	0.6200977146
317	0.6200788109
318	0.620057992
319	0.6200334422
320	0.6200174614
321	0.6199969623
322	0.6199749643
323	0.6199585757
324	0.6199391305
325	0.6199209829
326	0.6198938047
327	0.6198738192
328	0.619853056
329	0.6198327049
330	0.6198036234
331	0.6197843823
332	0.6197665973
333	0.6197460165
334	0.6197192829
335	0.6196892244
336	0.6196654735
337	0.6196415226
338	0.61962233
339	0.6195910384
340	0.6195739285
341	0.6195559157
342	0.6195419698
343	0.6195163689
344	0.619491388
345	0.619471553
346	0.6194423921
347	0.6194300072
348	0.6194019787
349	0.6193810691
350	0.61936142
351	0.6193384304
352	0.619306224
353	0.6192827405
354	0.6192669831
355	0.6192405627
356	0.6192224653
357	0.6191983657
358	0.619170884
359	0.6191489475
360	0.6191338387
361	0.6191143464
362	0.6190969747
363	0.6190750311
364	0.619053013
365	0.6190347038
366	0.6190040653
367	0.6189843434
368	0.6189638642
369	0.6189483644
370	0.6189233042
371	0.6189012011
372	0.6188772988
373	0.6188540217
374	0.6188372582
375	0.618821923
376	0.6188002788
377	0.6187851675
378	0.6187598394
379	0.618740234
380	0.6187258037
381	0.6186860625
382	0.6186682036
383	0.6186423631
384	0.6186130693
385	0.6185934445
386	0.6185741341
387	0.6185537941
388	0.6185374948
389	0.6185119458
390	0.6184894768
391	0.6184697975
392	0.6184487996
393	0.6184228744
394	0.6184051656
395	0.6183880208
396	0.6183625738
397	0.6183467089
398	0.6183250007
399	0.6182936819
400	0.6182814829
401	0.6182661965
402	0.6182449758
403	0.6182272094
404	0.6182034472
405	0.6181826008
406	0.6181558074
407	0.618132033
408	0.6181107894
409	0.6180987034
410	0.6180830504
411	0.6180557252
412	0.6180338302
413	0.6180138041
